Year,Town,Type,Return,Exempt,MarJnt,Single,MarSep,HdHous,AGI,FedTI,VTI,NetVTax
2005,Middlesex,Grand Total,855,1688,410,355,7,83,45302270,31552794,30164816,1374868.983
2005,Middletown Springs,Grand Total,384,739,194,163,2,25,15705980,9929322,9503379,393655.8027
2005,Milton,Grand Total,4941,9859,2309,2135,60,437,227582685,152153078,150054567,6628549.111
2005,Monkton,Grand Total,828,1829,485,287,9,47,48727948,33752521,32867745,1624921.786
2005,Montgomery,Grand Total,564,1066,233,252,13,66,20506511,13313261,12596286,531466.7249
2005,Montpelier,Grand Total,4294,7202,1409,2418,72,395,202160164,140605747,135410382,6594220.302
2005,Moretown,Grand Total,830,1554,357,403,20,50,39577365,28330422,27095237,1307349.273
2005,Morgan,Grand Total,338,644,168,128,7,35,17527499,12107582,11126578,637949.3328
2005,Morristown,Grand Total,2678,4901,1039,1314,38,287,112336611,70827349,68300551,3232015.119
2005,Mt. Holly,Grand Total,644,1218,314,272,13,45,27417502,17801901,17293230,762498.8621
2005,Mt. Tabor,Grand Total,80,166,40,33,0,7,3146215,1920830,1902755,77316
2005,N. Bennington ID,Grand Total,560,985,218,296,6,40,23156324,15114021,14452311,602726.7936
2005,New Haven,Grand Total,847,1704,421,352,16,58,41560258,28852001,27279955,1330895.472
2005,Newark,Grand Total,253,475,116,126,0,11,8653315,5180512,4974740,193655.9369
2005,Newbury,Grand Total,806,1590,392,338,18,58,31403918,20370020,19532690,830518.6788
2005,Newfane,Grand Total,880,1616,390,411,8,71,38341265.56,25805120.56,24818613.56,1105975.865
2005,Newport City,Grand Total,2098,3665,723,1120,23,232,69386525,44211963,42760435,1951998.5
2005,Newport Town,Grand Total,787,1538,376,340,12,59,27714410,17395655,16482170,747497.6073
2005,North Hero,Grand Total,459,861,228,195,6,30,23801818,16599428,16038499,766282.265
2005,Northfield,Grand Total,2276,4175,923,1106,38,209,96648816,64338058,62378293,2832536.749
2005,Norton,Grand Total,86,148,36,41,4,5,2264596,1275467,1265708,48424.8265
2005,Norwich,Grand Total,1816,3495,809,857,39,111,203679341.7,156159400.7,136071008.7,7975253.188
2005,Orange,Grand Total,523,997,253,224,7,39,20649174,13259883,13033873,537898.089
2005,Orleans,Grand Total,514,927,176,277,8,53,15953809,9643156,9450993,394308.6063
2005,Orwell,Grand Total,580,1187,294,234,9,43,22811657,14531799,13602719,557841.4715
2005,Panton,Grand Total,298,629,164,110,2,22,14382098,9486928,9102648,423971.4151
2005,Pawlet,Grand Total,724,1394,319,333,13,59,28671799,18663359,17715768,653206.5169
2005,Peacham,Grand Total,336,678,169,140,5,22,16660298,11212862,10580411,525169.5274
2005,Peru,Grand Total,197,351,89,97,1,10,12387690,8565736,7858431,303850.9071
2005,Pittsfield,Grand Total,228,413,106,109,6,7,17115226,13122225,11452485,508611.1773
2005,Pittsford,Grand Total,1514,2894,717,663,21,113,70240399,48004421,47089998,2192244.997
2005,Plainfield,Grand Total,731,1291,264,372,7,88,27818453,17922176,17550458,750791.0962
2005,Plymouth,Grand Total,260,471,124,119,8,9,12658674,8442425,8030556,352273.7
2005,Pomfret,Grand Total,476,892,230,205,14,27,42050854,32908042,27921960,1566615.718
2005,Poultney,Grand Total,1444,2726,640,678,11,115,59257429.27,38902682.03,37675927.03,1692252.934
2005,Pownal,Grand Total,1506,3010,741,597,19,149,60323066,39037936,37680682,1068949.25
2005,Proctor,Grand Total,921,1782,409,423,13,76,39643985,26345687,26022115,1215455.862
2005,Putney,Grand Total,1291,2238,447,700,29,115,54326226,39244319,36209047,1672921.708
2005,Randolph,Grand Total,2227,4111,900,1095,27,205,89783446,58409767,56951656,2583625.294
2005,Reading,Grand Total,377,668,159,182,9,27,16456525,10991937,10587740,485816.846
2005,Readsboro,Grand Total,341,658,158,152,3,28,10862687,6543652,6455130,164627.8337
2005,Richford,Grand Total,1011,2031,427,456,14,114,30123720,17064708,16800269,671266.0753
2005,Richmond,Grand Total,2039,4070,976,899,25,139,120031816,85417762,82744319,4223847.626
2005,Ripton,Grand Total,282,538,128,137,1,16,17052813,11970269,10805567,560165.2631
2005,Rochester,Grand Total,598,1065,254,295,9,40,25941999,17309365,16650093,777624.9574
2005,Rockingham,Grand Total,2525,4648,940,1279,48,258,89723034,56820268,55197901,2351806.346
2005,Roxbury,Grand Total,318,645,154,127,7,30,13229234,8501051,8323397,348779.5552
2005,Royalton,Grand Total,1253,2250,512,639,10,92,46232910.53,29922311,28802275,1249092.344
2005,Rupert,Grand Total,314,612,167,128,2,17,28657894,16767688,13022242,734742.3287
2005,Rutland City,Grand Total,8359,14346,2727,4696,100,836,308987806,201713664,194913244,8935731.744
2005,Rutland Town,Grand Total,2092,3857,966,973,28,125,125732278,92589117,88695121,4980132.678
2005,Ryegate,Grand Total,594,1124,272,256,10,56,21333652,13524652,13041751,533458.2577
2005,Salisbury,Grand Total,559,1082,241,265,7,46,23954074,15581589,15139607,645968.5209
2005,Sandgate,Grand Total,159,290,74,70,4,11,7141552,4597644,4297049,163827.5454
2005,Searsburg,Grand Total,31,60,15,15,0,1,846576,487753,487262,17820
2005,Shaftbury ID,Grand Total,243,563,149,74,0,20,13402158,9111581,8972181,375149.5603
2005,Shaftsbury,Grand Total,1427,2763,697,618,17,95,71699334,48155639,46560906,2101497.905
2005,Sharon,Grand Total,733,1389,320,352,8,53,35565047,23963518,23076106,1093361.965
2005,Sheffield,Grand Total,333,641,148,145,8,32,10474367,6058465,5929392,237998.6624
2005,Shelburne,Grand Total,3710,7097,1648,1802,39,221,380624198,284802695,261313096,16322751.35
2005,Sheldon,Grand Total,974,2002,439,409,16,110,38866825,24996154,24472898,1101195.829
