Year,Town,AGIClss,Return,Exempt,MarJnt,Single,MarSep,HdHous,AGI,FedTI,VTI,NetVTax
2005,N. Bennington ID,Loss or None,8,11.0,2.0,6.0,0.0,0.0,-59811.0,0.0,0.0,0.0
2005,N. Bennington ID,0.01 - 4999,74,43.0,2.0,68.0,0.0,4.0,224610.0,3519.0,9510.0,340.0
2005,N. Bennington ID,5000 - 9999,55,57.0,6.0,48.0,0.0,1.0,398779.0,35371.0,35217.0,1189.0
2005,N. Bennington ID,10000 - 14999,58,87.0,18.0,38.0,0.0,2.0,727800.0,160884.0,156180.0,5470.0
2005,N. Bennington ID,15000 - 19999,44,75.0,11.0,24.0,1.0,8.0,764570.0,242317.0,241994.0,8506.0
2005,N. Bennington ID,20000 - 24999,55,87.0,16.0,36.0,1.0,2.0,1240110.0,568145.0,566707.0,18986.9811
2005,N. Bennington ID,25000 - 29999,33,53.0,7.0,17.0,2.0,7.0,900639.0,470726.0,470703.0,14874.0
2005,N. Bennington ID,30000 - 34999,21,33.0,6.0,13.0,0.0,2.0,684840.0,410335.0,410188.0,14486.6523
2005,N. Bennington ID,35000 - 39999,22,43.0,8.0,12.0,0.0,2.0,836160.0,499202.0,497829.0,12682.5701
2005,N. Bennington ID,40000 - 44999,25,63.0,17.0,5.0,1.0,2.0,1060301.0,597674.0,587403.0,18325.8845
2005,N. Bennington ID,45000 - 49999,21,52.0,13.0,7.0,0.0,1.0,999382.0,602598.0,579261.0,19498.0
2005,N. Bennington ID,50000 - 59999,29,70.0,19.0,7.0,0.0,3.0,1582619.0,1018436.0,1016967.0,36871.0342
2005,N. Bennington ID,60000 - 74999,45,116.0,35.0,9.0,0.0,1.0,3044079.0,2111641.0,2025861.0,64075.0
2005,N. Bennington ID,75000 - 99999,37,108.0,33.0,0.0,1.0,3.0,3159183.0,2291619.0,2289192.0,84683.99350000001
2005,N. Bennington ID,100000 - 149999,14,35.0,11.0,3.0,0.0,0.0,1622048.0,1276098.0,1220001.0,56531.4469
2005,N. Bennington ID,150000 +,19,52.0,14.0,3.0,0.0,2.0,5971015.0,4825456.0,4345298.0,246206.23100000003
2005,Orleans,Loss or None,4,8.0,2.0,2.0,0.0,0.0,-31885.0,0.0,0.0,0.0
2005,Orleans,0.01 - 4999,55,68.0,7.0,42.0,1.0,5.0,134423.0,0.0,0.0,0.0
2005,Orleans,5000 - 9999,61,65.0,5.0,50.0,0.0,6.0,453716.0,39039.0,39039.0,1396.4856
2005,Orleans,10000 - 14999,49,77.0,7.0,34.0,0.0,8.0,612943.0,134345.0,132984.0,4439.063899999999
2005,Orleans,15000 - 19999,54,92.0,13.0,30.0,1.0,10.0,934673.0,318002.0,315051.0,10664.27
2005,Orleans,20000 - 24999,56,89.0,8.0,38.0,2.0,8.0,1250894.0,610573.0,609555.0,21745.0
2005,Orleans,25000 - 29999,45,76.0,10.0,28.0,1.0,6.0,1243129.0,684297.0,681576.0,23335.3523
2005,Orleans,30000 - 34999,30,59.0,13.0,15.0,1.0,1.0,970956.0,505134.0,505061.0,17068.1755
2005,Orleans,35000 - 39999,22,50.0,10.0,7.0,2.0,3.0,815207.0,476779.0,474903.0,16168.0
2005,Orleans,40000 - 44999,14,23.0,4.0,10.0,0.0,0.0,594869.0,397358.0,397358.0,13773.7816
2005,Orleans,45000 - 49999,16,39.0,10.0,3.0,0.0,3.0,747662.0,462476.0,462417.0,17112.0
2005,Orleans,50000 - 59999,43,113.0,31.0,9.0,0.0,3.0,2351126.0,1567982.0,1488759.0,56433.4774
2005,Orleans,60000 - 74999,35,90.0,29.0,6.0,0.0,0.0,2331316.0,1612783.0,1601807.0,60720.0
2005,Orleans,75000 - 99999,17,48.0,16.0,1.0,0.0,0.0,1440523.0,1067280.0,1052529.0,45263.0
2005,Orleans,100000 - 149999,7,16.0,6.0,1.0,0.0,0.0,817344.0,668618.0,640266.0,34338.0
2005,Orleans,150000 +,6,14.0,5.0,1.0,0.0,0.0,1286913.0,1098490.0,1049688.0,71852.0
2005,Shaftbury ID,Loss or None,*,,,,,,,,,
2005,Shaftbury ID,0.01 - 9999,28,30.0,3.0,24.0,0.0,1.0,156771.0,22666.0,24958.0,885.0
2005,Shaftbury ID,10000 - 19999,30,55.0,13.0,14.0,0.0,3.0,444291.0,80542.0,76399.0,2751.0
2005,Shaftbury ID,20000 - 29999,26,53.0,14.0,9.0,0.0,3.0,680727.0,271196.0,267469.0,9208.8389
2005,Shaftbury ID,30000 - 39999,22,43.0,10.0,8.0,0.0,4.0,759158.0,414070.0,408277.0,14617.0
2005,Shaftbury ID,40000 - 49999,21,52.0,13.0,6.0,0.0,2.0,959129.0,582390.0,564447.0,18209.0
2005,Shaftbury ID,50000 - 74999,54,135.0,41.0,8.0,0.0,5.0,3398688.0,2388424.0,2354361.0,89133.0
2005,Shaftbury ID,75000 +,62,195.0,55.0,5.0,0.0,2.0,7003394.0,5352293.0,5276270.0,240345.7214
2005,Underhill ID,Loss or None,7,1.0,0.0,7.0,0.0,0.0,-5821.0,0.0,0.0,0.0
2005,Underhill ID,0.01 - 9999,85,36.0,1.0,82.0,0.0,2.0,420872.0,63739.0,60429.0,1974.0816
2005,Underhill ID,10000 - 19999,51,67.0,6.0,42.0,1.0,2.0,735151.0,281679.0,276195.0,9129.7025
2005,Underhill ID,20000 - 29999,40,61.0,10.0,25.0,1.0,4.0,991714.0,536551.0,518177.0,17653.7709
2005,Underhill ID,30000 - 39999,31,60.0,11.0,17.0,0.0,3.0,1081862.0,630456.0,615779.0,20746.0
2005,Underhill ID,40000 - 49999,29,64.0,13.0,14.0,1.0,1.0,1311472.0,833334.0,811522.0,31355.7872
2005,Underhill ID,50000 - 74999,64,179.0,56.0,8.0,0.0,0.0,4026256.0,2668957.0,2663531.0,96486.8944
2005,Underhill ID,75000 +,85,266.0,81.0,3.0,0.0,1.0,11318576.01,8840980.0,8462562.0,433858.359
2005,Underhill Town,Loss or None,13,24.0,6.0,7.0,0.0,0.0,-338528.0,0.0,0.0,0.0
2005,Underhill Town,0.01 - 4999,101,30.0,3.0,97.0,0.0,1.0,286348.0,29427.0,19688.0,708.0
2005,Underhill Town,5000 - 9999,86,60.0,9.0,74.0,1.0,2.0,636309.0,101706.0,94761.0,3462.1462
2005,Underhill Town,10000 - 14999,54,80.0,14.0,38.0,0.0,2.0,661263.0,193396.0,182408.0,6158.5811
